;VehiID;DevIDNO;DateTime;Speed;Heading;lat;lon;geometry;sp_diff;dist;trjid;x;y;time;time_interval
32377;20;205130;2021-05-02 10:45:04;0.0;88;22.314407;114.169738;POINT (835532.7195505445 819491.1081143713);0.0;7.419219198448938;78;835532.7195505445;819491.1081143713;38704;15.0
32378;20;205130;2021-05-02 10:45:19;0.0;88;22.314382;114.169738;POINT (835532.7194204357 819488.3397490174);0.0;2.768365356985401;78;835532.7194204357;819488.3397490174;38719;15.0
32379;20;205130;2021-05-02 10:45:35;23.0;92;22.31443;114.170234;POINT (835583.8240544245 819493.6526927035);23.0;51.38006408854204;78;835583.8240544245;819493.6526927035;38735;16.0
32380;20;205130;2021-05-02 10:45:36;23.0;104;22.314393;114.170303;POINT (835590.9331564516 819489.5552028484);0.0;8.205410089909751;78;835590.9331564516;819489.5552028484;38736;1.0
32381;20;205130;2021-05-02 10:45:50;18.0;109;22.313825;114.170608;POINT (835622.3556462503 819426.6566168402);-5.0;70.31077433073222;78;835622.3556462503;819426.6566168402;38750;14.0
32382;20;205130;2021-05-02 10:46:05;7.0;71;22.314168;114.171813;POINT (835746.5122480462 819464.633964197);-11.0;129.8350518225918;78;835746.5122480462;819464.633964197;38765;15.0
32383;20;205130;2021-05-02 10:46:20;0.0;46;22.314512;114.172515;POINT (835818.8426609084 819502.7244346264);-7.0;81.74700338445318;78;835818.8426609084;819502.7244346264;38780;15.0
32384;20;205130;2021-05-02 10:46:35;2.0;46;22.314508;114.172424;POINT (835809.4666475221 819502.2817670909);2.0;9.38645734912778;78;835809.4666475221;819502.2817670909;38795;15.0
32385;20;205130;2021-05-02 10:46:50;25.0;37;22.314836;114.172676;POINT (835835.4319570648 819538.6019851865);23.0;44.64701045039884;78;835835.4319570648;819538.6019851865;38810;15.0
32386;20;205130;2021-05-02 10:47:05;42.0;29;22.31586;114.173492;POINT (835919.509176555 819651.9921556338);17.0;141.16058086898448;78;835919.509176555;819651.9921556338;38825;15.0
32387;20;205130;2021-05-02 10:47:20;34.0;37;22.317373;114.174537;POINT (836027.1801444938 819819.5316624832);-8.0;199.15452214864652;78;836027.1801444938;819819.5316624832;38840;15.0
32388;20;205130;2021-05-02 10:47:35;4.0;81;22.318151;114.175361;POINT (836112.0784218999 819905.6821689041);-30.0;120.9529960897995;78;836112.0784218999;819905.6821689041;38855;15.0
32389;20;205130;2021-05-02 10:47:50;0.0;81;22.31814;114.175323;POINT (836108.1632582945 819904.4641262074);-4.0;4.100260244013252;78;836108.1632582945;819904.4641262074;38870;15.0
32390;20;205130;2021-05-02 10:48:05;0.0;81;22.318122;114.175338;POINT (836109.7086932177 819902.4708868942);0.0;2.5221760568820173;78;836109.7086932177;819902.4708868942;38885;15.0
32391;20;205130;2021-05-02 10:48:20;0.0;139;22.318117;114.175338;POINT (836109.7086877421 819901.9172135746);0.0;0.5536733195456418;78;836109.7086877421;819901.9172135746;38900;15.0
32392;20;205130;2021-05-02 10:48:35;18.0;37;22.318218;114.175346;POINT (836110.5330403663 819913.1014065745);18.0;11.214532103782076;78;836110.5330403663;819913.1014065745;38915;15.0
32393;20;205130;2021-05-02 10:48:50;50.0;34;22.319744;114.176353;POINT (836214.2850383038 820082.0818473459);32.0;198.289854605188;78;836214.2850383038;820082.0818473459;38930;15.0
32394;20;205130;2021-05-02 10:49:05;28.0;37;22.32113;114.177368;POINT (836318.8590597644 820235.5601562737);-22.0;185.71838163132864;78;836318.8590597644;820235.5601562737;38945;15.0
32395;20;205130;2021-05-02 10:49:21;45.0;64;22.321964;114.178962;POINT (836483.0845686999 820327.914358038);17.0;188.41262263621508;78;836483.0845686999;820327.914358038;38961;16.0
32396;20;205130;2021-05-02 10:49:36;45.0;71;22.322689;114.18061;POINT (836652.8718803156 820408.2003578652);0.0;187.8126006260637;78;836652.8718803156;820408.2003578652;38976;15.0
32397;20;205130;2021-05-02 10:49:51;0.0;75;22.322937;114.181236;POINT (836717.3659613009 820435.664320292);-45.0;70.0981862412906;78;836717.3659613009;820435.664320292;38991;15.0
32398;20;205130;2021-05-02 10:50:06;0.0;75;22.322937;114.181236;POINT (836717.3659613009 820435.664320292);0.0;0.0;78;836717.3659613009;820435.664320292;39006;15.0
32399;20;205130;2021-05-02 10:50:21;29.0;65;22.323114;114.181617;POINT (836756.618545458 820455.2655637144);29.0;43.87452685458169;78;836756.618545458;820455.2655637144;39021;15.0
32400;20;205130;2021-05-02 10:50:36;57.0;61;22.32393;114.183311;POINT (836931.1418216502 820545.6316281033);28.0;196.53091239297123;78;836931.1418216502;820545.6316281033;39036;15.0
32401;20;205130;2021-05-02 10:50:51;69.0;59;22.325054;114.185836;POINT (837191.2751892916 820670.1108430263);12.0;288.3824611662103;78;837191.2751892916;820670.1108430263;39051;15.0
32402;20;205130;2021-05-02 10:51:06;56.0;58;22.326261;114.187812;POINT (837394.8433203824 820803.7811961987);-13.0;243.5318199189533;78;837394.8433203824;820803.7811961987;39066;15.0
32403;20;205130;2021-05-02 10:51:21;53.0;64;22.327247;114.189689;POINT (837588.2107132841 820912.9809757037);-3.0;222.0710257587407;78;837588.2107132841;820912.9809757037;39081;15.0
32404;20;205130;2021-05-02 10:51:36;54.0;49;22.328279;114.191711;POINT (837796.5132069325 821027.278443963);1.0;237.60016858290803;78;837796.5132069325;821027.278443963;39096;15.0
32405;20;205130;2021-05-02 10:51:51;64.0;43;22.330028;114.193595;POINT (837990.5867589747 821220.9740026196);10.0;274.1942979815271;78;837990.5867589747;821220.9740026196;39111;15.0
32406;20;205130;2021-05-02 10:52:06;52.0;42;22.331529;114.195068;POINT (838142.3174495236 821387.2046082523);-12.0;225.0662495876308;78;838142.3174495236;821387.2046082523;39126;15.0
32407;20;205130;2021-05-02 10:52:21;42.0;316;22.332969;114.195785;POINT (838216.1630901684 821546.6719156699);-10.0;175.73559906084608;78;838216.1630901684;821546.6719156699;39141;15.0
32408;20;205130;2021-05-02 10:52:36;28.0;315;22.334125;114.194625;POINT (838096.6454503306 821674.6668701718);-14.0;175.12045742954714;78;838096.6454503306;821674.6668701718;39156;15.0
32409;20;205130;2021-05-02 10:52:51;0.0;314;22.334323;114.194412;POINT (838074.6999371167 821696.5898033206);-28.0;31.01968001232313;78;838074.6999371167;821696.5898033206;39171;15.0
32410;20;205130;2021-05-02 10:53:06;39.0;3;22.335021;114.194152;POINT (838047.9062654781 821773.8796575967);39.0;81.80233745987263;78;838047.9062654781;821773.8796575967;39186;15.0
32411;20;205130;2021-05-02 10:53:22;19.0;27;22.336179;114.194564;POINT (838090.3345642183 821902.1156115669);-20.0;135.07264869188407;78;838090.3345642183;821902.1156115669;39202;16.0
32412;20;205130;2021-05-02 10:53:37;0.0;41;22.33636;114.194679;POINT (838102.1791539688 821922.1600290259);-19.0;23.28246072961567;78;838102.1791539688;821922.1600290259;39217;15.0
32413;20;205130;2021-05-02 10:53:52;31.0;35;22.336662;114.194946;POINT (838129.6806567779 821955.6052548119);31.0;43.30029774309695;78;838129.6806567779;821955.6052548119;39232;15.0
