t,id,speed,trjid_u,trjid_n
39300.0,_13440001305725300,5.501757068016,['78'],1
39300.0,_13440001323984200,3.7299210870480004,['78'],1
39300.0,_13440001328390200,31.702968436752002,['78'],1
39300.0,_13440001331221300,35.0,['78'],1
39300.0,_13440001357605200,31.702968436752002,['78'],1
39300.0,_13440001390651200,32.0,['78'],1
39300.0,_13440001395828200,15.393246620063998,['78'],1
39300.0,_13440001397852200,21.0,['78'],1
39300.0,_13440001426025200,30.0,['78'],1
39300.0,_13440001445304200,3.4600642217999997,['78'],1
39300.0,_13440001477753300,3.599795155295739,['78'],1
39300.0,_13440001495474300,11.713866712056001,['78'],1
39300.0,_13440001498861300,41.5330183763712,['78'],1
39300.0,_13440001570211300,12.0,['78'],1
39300.0,_13440002083952200,26.0,['78'],1
39300.0,_13440003319898200,0.0,['78'],1
39300.0,_13440003321715300,3.599795155295739,['78'],1
39300.0,_13440003321859300,46.0,['78'],1
39300.0,_13440003322732200,0.0,['78'],1
39300.0,_13440003336671200,31.702968436752002,['78'],1
39300.0,_13440003337810300,41.5330183763712,['78'],1
39300.0,_13440003338085300,41.5330183763712,['78'],1
39300.0,_13440003346603200,40.0,['78'],1
39600.0,_13440001570211300,0.0,['78'],1
39900.0,_13440001145998200,42.63508028268,['78'],1
39900.0,_13440001171341300,13.0,['78'],1
39900.0,_13440001260512300,28.0,['78'],1
39900.0,_13440001270060200,16.596883585814403,['78'],1
39900.0,_13440001293379201,27.545035876416,['78'],1
39900.0,_13440001293379202,6.5,['78'],1
39900.0,_13440001328538200,27.545035876416,['78'],1
39900.0,_13440001373370201,43.0,['78'],1
39900.0,_13440001373370202,20.366155031940004,['78'],1
39900.0,_13440001373370203,47.0,['78'],1
39900.0,_13440001373370204,26.0,['78'],1
39900.0,_13440001385284200,27.070468424976,['78'],1
39900.0,_13440001396884200,47.0,['78'],1
39900.0,_13440001415716200,27.070468424976,['78'],1
39900.0,_13440001431442200,19.990943758749598,['78'],1
39900.0,_13440001518168200,19.990943758749598,['78'],1
39900.0,_13440001570211300,2.5454545454545454,['78'],1
39900.0,_13440001764508200,19.990943758749598,['78'],1
39900.0,_13440002114702201,42.63508028268,['78'],1
39900.0,_13440002114702202,42.63508028268,['78'],1
39900.0,_13440002124800200,16.596883585814403,['78'],1
39900.0,_13440002166043201,16.596883585814403,['78'],1
39900.0,_13440002166043202,16.596883585814403,['78'],1
39900.0,_13440003345324200,19.990943758749598,['78'],1
39900.0,_13440003346317200,32.0,['78'],1
40200.0,_13440001338849201,47.76022284672,['78'],1
40200.0,_13440001338849202,47.76022284672,['78'],1
40200.0,_13440001338866200,47.76022284672,['78'],1
40200.0,_13440001357614200,12.9028595420232,['78'],1
40200.0,_13440001372354201,39.0,['78'],1
40200.0,_13440001372354202,4.666666666666667,['78'],1
40200.0,_13440001372354203,29.0,['78'],1
40200.0,_13440001385245300,27.4929408227352,['78'],1
40200.0,_13440001411215200,42.703714041624,['78'],1
40200.0,_13440001456949300,27.4929408227352,['78'],1
40200.0,_13440001485217200,9.7018744644768,['78'],1
40200.0,_13440001550727200,43.0,['78'],1
40200.0,_13440001570184300,41.0,['78'],1
40200.0,_13440002165102300,27.4929408227352,['78'],1
40200.0,_13440002270023200,42.703714041624,['78'],1
40200.0,_13440003313566301,51.0,['78'],1
40200.0,_13440003313566302,16.162805451744,['78'],1
40200.0,_13440003320897201,3.082578123056604,['78'],1
40200.0,_13440003320897202,66.0,['78'],1
40200.0,_13440003320897203,0.0,['78'],1
40200.0,_13440003323123200,5.285714285714286,['78'],1
40200.0,_13440003334000300,9.7018744644768,['78'],1
40200.0,_13440003334280200,6.0,['78'],1
40200.0,_13440003334322200,9.7018744644768,['78'],1
40200.0,_13440003351482300,12.9028595420232,['78'],1
40500.0,_13440001408267200,39.659528015412754,['78'],1
40500.0,_13440001408281200,39.659528015412754,['78'],1
40500.0,_13440001830534200,39.659528015412754,['78'],1
40500.0,_13440003313271200,51.0,['78'],1
40500.0,_13440003313732300,27.086632349428797,['78'],1
40500.0,_13440003314371200,7.837303620444001,['78'],1
40500.0,_13440003314872300,39.659528015412754,['78'],1
40500.0,_13440003315066200,27.086632349428797,['78'],1
40500.0,_13440003315066300,34.0,['78'],1
40500.0,_13440003315455200,7.837303620444001,['78'],1
40500.0,_13440003315688300,27.086632349428797,['78'],1
40500.0,_13440003316485300,7.837303620444001,['78'],1
40500.0,_13440003316577300,27.086632349428797,['78'],1
40500.0,_13440003316759200,37.0,['78'],1
